(0,0)
(0,40)
(0,80)
(0,120)
(0,160)
(0,200)
(0,240)
(0,320)
(0,360)
(0,400)
(0,440)
(0,480)
(0,520)
(0,560)
(760,0)
(760,40)
(760,80)
(760,120)
(760,160)
(760,200)
(760,240)
(760,320)
(760,360)
(760,400)
(760,440)
(760,480)
(760,520)
(760,560)
(40,0)
(80,0)
(120,0)
(160,0)
(200,0)
(240,0)
(280,0)
(320,0)
(360,0)
(400,0)
(440,0)
(480,0)
(520,0)
(560,0)
(600,0)
(640,0)
(680,0)
(720,0)
(760,560)
(40,560)
(80,560)
(120,560)
(160,560)
(200,560)
(240,560)
(280,560)
(320,560)
(360,560)
(400,560)
(440,560)
(480,560)
(520,560)
(560,560)
(600,560)
(640,560)
(680,560)
(720,560)
(200,220)
(200,260)
(200,300)
(200,340)
